ItemID,LocationID,TransactionDate,TransferQuantity
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-25,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-03,139.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-19,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-10,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-12,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-23,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-26,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-05,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-30,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-13,-4.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-03,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2020-01-22,0.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-21,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-16,19.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-07-11,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-26,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-26,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-01,-4.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-07-02,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-01,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-09-01,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-10-20,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-13,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-07,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-10-21,-7.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-11,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-07-01,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-10,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-19,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-26,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-02,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-29,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-12,-3.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-10-13,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-20,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-19,0.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-13,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-02,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-21,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-30,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-25,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-07-25,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-12-01,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-18,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-07-16,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-30,-3.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-07-03,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-26,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-11,0.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-13,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-24,0.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-11-03,-3.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-03-12,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2020-05-18,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-13,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-06,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-24,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-02-26,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-18,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-19,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-11-06,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-21,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-11,7.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-05-11,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-30,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-29,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-14,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-17,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-21,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-12,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-11-14,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-19,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-05-10,-3.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-23,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-03-05,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-25,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-06,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-16,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-30,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-10-11,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-23,-1.0
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-08-16,-2.0
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-11-23,-1.0
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-03-02,-7.0
a0W5700000OaJ2cEAF,a0X5700001C7jz6EAB,2020-05-08,-1.0
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2020-03-04,-1.0
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-05-06,-2.0
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-02-24,-1.0
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-03-11,0.0
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-02-14,-7.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-07,-9.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-19,-24.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-05-28,-20.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-05-21,-67.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-05-02,-1.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-13,-8.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-12,-68.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-27,-19.0
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-24,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-05,-57.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-06-12,-12.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-11,-3.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-06-14,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-03,-52.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-06-27,-51.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-06-17,-4.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-17,-4.0
